year,corp,partido,votos,curules,ideologia
2022,Senado,Pacto Historico,2880254,20,Izquierda
2022,Senado,Partido Conservador,2238678,15,Derecha
2022,Senado,Partido Liberal,2112528,14,Centro
2022,Senado,A.V. y Centro Esperanza,1958369,13,Centro
2022,Senado,Centro Democratico,1949905,13,Derecha
2022,Senado,Cambio Radical,1609173,11,Derecha
2022,Senado,Partido de la U,1506567,10,Centro
2022,Senado,CJL y MIRA,584806,4,Derecha
2022,Senado,Comunes Sen,25708,5,Izquierda
2022,Senado,Indigenas Sen,0,2,Izquierda
2022,Senado,Curul Segunda Formula Vicepresidencial,0,1,Centro
2022,Camara,Pacto Historico,2922409,28,Izquierda
2022,Camara,Partido Liberal,2335426,32,Centro
2022,Camara,Partido Conservador,2068076,25,Derecha
2022,Camara,Centro Democratico,1692491,16,Derecha
2022,Camara,Partido de la U,1439579,15,Centro
2022,Camara,Cambio Radical,1319437,16,Derecha
2022,Camara,A.V.,1093836,11,Centro
2022,Camara,CITREP,0,16,Centro
2022,Camara,CCE,445549,5,Centro
2022,Camara,MIRA,288617,2,Derecha
2022,Camara,Nuevo Liberalismo,282271,2,Centro
2022,Camara,LIGA,172342,1,Derecha
2022,Camara,PH Verde,149218,1,Izquierda
2022,Camara,CD MIRA,136622,1,Derecha
2022,Camara,PC CC,111497,1,Derecha
2022,Camara,CD CC,99138,1,Derecha
2022,Camara,CR MIRA,84704,1,Derecha
2022,Camara,Fuerza Ciudadana,71175,1,Derecha
2022,Camara,PL CJL,68468,1,Centro
2022,Camara,Colombia Renaciente,62490,1,Centro
2022,Camara,Alternativos,60527,1,Izquierda
2022,Camara,Comunes Cam,21423,5,Izquierda
2022,Camara,Poblacion Raizal,0,1,Centro
2022,Camara,Afrodescendientes,0,1,Centro
2022,Camara,Indigenas Cam,0,1,Izquierda
2022,Camara,Exterior,0,1,Centro
2022,Camara,Curul Segunda Formula Vicepresidencial,0,1,Centro
2026,Senado,Pacto Historico,4413636,25,Izquierda
2026,Senado,Centro Democratico,3035715,17,Derecha
2026,Senado,Partido Liberal,2275182,13,Centro
2026,Senado,A.V.,1904154,10,Centro
2026,Senado,Partido Conservador,1863663,10,Derecha
2026,Senado,Partido de la U,1565786,9,Centro
2026,Senado,CR y ALMA,1248021,7,Derecha
2026,Senado,Ahora Colombia,900606,5,Derecha
2026,Senado,Salvacion Nacional,705924,4,Derecha
2026,Senado,Indigenas Sen,0,2,Izquierda
2026,Senado,Estatuto Oposicion Sen,0,1,Derecha
2026,Camara,Pacto Historico,3795553,33,Izquierda
2026,Camara,Partido Liberal,2108525,26,Centro
2026,Camara,Centro Democratico,2508167,24,Derecha
2026,Camara,Partido Conservador,1969826,18,Derecha
2026,Camara,Partido de la U,1047542,12,Centro
2026,Camara,Cambio Radical,802570,9,Derecha
2026,Camara,A.V.,655520,4,Centro
2026,Camara,PH Verde,212025,4,Izquierda
2026,Camara,CD MIRA,355763,3,Derecha
2026,Camara,CoR MIRA,336603,2,Derecha
2026,Camara,ASI,65696,2,Izquierda
2026,Camara,Creemos,285354,2,Derecha
2026,Camara,AV En Marcha,112842,2,Centro
2026,Camara,MSN,408034,1,Derecha
2026,Camara,Ahora Colombia,269226,1,Derecha
2026,Camara,Liberal CoR,147238,1,Centro
2026,Camara,La Fuerza,139936,1,Derecha
2026,Camara,CR PUG MSN,119070,1,Derecha
2026,Camara,Partido democrata,106849,1,Derecha
2026,Camara,PH MAIS,100000,1,Izquierda
2026,Camara,AV AICO,99683,1,Izquierda
2026,Camara,CR CJL LIGA,97234,1,Derecha
2026,Camara,CD AP DC,84306,1,Derecha
2026,Camara,PH Risaralda,73988,1,Izquierda
2026,Camara,PU CR,70300,1,Centro
2026,Camara,PC MSN,64494,1,Derecha
2026,Camara,CD PC,64340,1,Derecha
2026,Camara,Fuerza Cauca,61138,1,Derecha
2026,Camara,CD PU,48695,1,Derecha
2026,Camara,NL ASI,34011,1,Centro
2026,Camara,CR MV,30692,1,Derecha
2026,Camara,Putumayo,27903,1,Centro
2026,Camara,CITREP,0,16,Centro
2026,Camara,Poblacion Raizal,0,1,Centro
2026,Camara,Afrodescendientes,0,1,Centro
2026,Camara,Indigenas Cam,0,1,Izquierda
2026,Camara,Exterior,0,1,Centro
2026,Camara,Curul Segunda Formula Vicepresidencial,0,1,Centro
